tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
15,75.2,1128,0,1,1
24,68.5,1644,1,0,0
6,95.4,572,0,1,1
36,50.0,1800,2,0,0
18,82.3,1481,0,1,1
48,45.6,2188,2,0,0
10,88.9,889,0,1,1
30,60.5,1815,1,1,0
54,42.7,2306,2,0,0
7,92.1,645,0,1,1
20,72.8,1456,0,1,1
40,48.5,1940,2,0,0
14,79.6,1114,0,1,1
28,58.4,1635,1,0,0
62,39.8,2468,2,0,0
9,91.5,823,0,1,1
33,55.7,1838,1,1,0
50,44.2,2210,2,0,0
11,87.0,957,0,1,1
42,49.5,2079,2,0,0
16,77.8,1245,0,1,1
27,61.2,1652,1,1,0
58,41.0,2378,2,0,0
5,98.6,493,0,1,1
38,52.1,1980,2,0,0
22,70.4,1549,1,1,0
65,38.5,2502,2,0,0
13,84.3,1096,0,1,1
31,57.6,1786,1,0,0
55,43.8,2409,2,0,0
8,93.2,746,0,1,1
35,53.5,1872,1,1,0
46,47.9,2203,2,0,0
17,80.5,1368,0,1,1
29,59.8,1734,1,0,0
52,44.7,2324,2,0,0
12,86.1,1033,0,1,1
41,50.3,2062,2,0,0
25,66.9,1672,1,1,0
63,39.2,2470,2,0,0
